Tempo_teste-OO,586.269000
Tempo_teste-O3,51.786000
Tempo_teste-OO,592.095000
Tempo_teste-O3,52.252000
Tempo_teste-OO,595.147000
Tempo_teste-O3,53.834000
Tempo_teste-OO,592.688000
Tempo_teste-O3,52.632000
Tempo_teste-OO,628.757000
Tempo_teste-O3,57.481000
Tempo_teste-OO,629.841000
Tempo_teste-O3,54.060000
Tempo_teste-OO,600.136000
Tempo_teste-O3,52.227000
Tempo_teste-OO,600.604000
Tempo_teste-O3,52.344000
Tempo_teste-OO,598.266000
Tempo_teste-O3,51.822000
Tempo_teste-OO,597.942000
Tempo_teste-O3,51.915000
